FromNode,ToNode,NumberOfElementsInLoadingBuffer,NumberOfElementsInEntranceQueue,NumberOfElementsInExitQue,LoadingBuffer,EntranceQueue,ExitQue
1,2,0,4,0,,145;4;870.0;146;4;870.0;147;4;870.6;148;4;870.6;,,
1,3,0,0,0,,,,
1,6,0,2,0,,144;7;870.0;149;7;870.6;,,
6,7,0,1,0,,141;12;870.4;,,
2,4,0,2,0,,142;12;870.4;143;7;870.4;,,
3,5,0,0,0,,,,
4,8,0,2,0,,137;13;870.1;140;13;870.7;,,
8,7,0,1,0,,134;12;870.4;,,
5,9,0,0,0,,,,
9,7,0,0,0,,,,
5,11,0,0,0,,,,
4,10,0,2,0,,135;-1;870.1;138;-1;870.7;,,
11,12,0,0,0,,,,
10,12,0,1,0,,132;-1;870.4;,,
7,13,0,4,0,,136;-1;870.1;127;-1;870.2;139;-1;870.7;131;-1;870.8;,,
13,12,0,20,0,,105;-1;870.2;97;-1;870.2;108;-1;870.7;100;-1;870.8;112;-1;871.3;102;-1;871.4;115;-1;871.9;107;-1;872.0;117;-1;872.5;110;-1;872.6;120;-1;873.1;113;-1;873.2;123;-1;873.7;116;-1;873.8;126;-1;874.3;118;-1;874.4;129;-1;874.9;121;-1;875.0;133;-1;875.5;124;-1;875.6;,,
