service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20120819,20121208
2,0,0,0,0,0,1,0,20120819,20121208
3,0,0,0,0,0,0,1,20120819,20121208
4,1,1,1,1,1,0,0,20120819,20121208
8,0,0,0,0,0,0,0,20120819,20121208
9,0,0,0,0,0,0,0,20120819,20121208
10,0,0,0,0,0,0,0,20120819,20121208
11,0,0,0,0,0,0,0,20120819,20121208
12,0,0,0,0,0,0,0,20120819,20121208
13,0,0,0,0,0,0,0,20120819,20121208
15,0,0,0,0,0,0,0,20120819,20121208
16,0,0,0,0,0,0,0,20120819,20121208
17,0,0,0,0,0,0,0,20120819,20121208
18,0,0,0,0,0,0,0,20120819,20121208
19,0,0,0,0,0,0,0,20120819,20121208
20,0,0,0,0,0,0,0,20120819,20121208
21,0,0,0,0,0,0,0,20120819,20121208
22,0,0,0,0,0,0,0,20120819,20121208
23,0,0,0,0,0,0,0,20120819,20121208
24901,0,0,0,0,0,0,0,20120819,20121208
74203,0,0,0,0,0,0,0,20120819,20121208
1004,0,0,0,0,0,0,0,20120819,20121208
12704,0,0,0,0,0,0,0,20120819,20121208
13304,0,0,0,0,0,0,0,20120819,20121208
24904,0,0,0,0,0,0,0,20120819,20121208
71304,0,0,0,0,0,0,0,20120819,20121208
82404,0,0,0,0,0,0,0,20120819,20121208
84204,0,0,0,0,0,0,0,20120819,20121208
123704,0,0,0,0,0,0,0,20120819,20121208
128004,0,0,0,0,0,0,0,20120819,20121208
150804,0,0,0,0,0,0,0,20120819,20121208
24910,0,0,0,0,0,0,0,20120819,20121208
82512,0,0,0,0,0,0,0,20120819,20121208
