service_id,date,exception_type
1,20151012,1
1,20151111,1
2,20151003,1
2,20151010,1
2,20151017,1
2,20151024,1
2,20151031,1
2,20151107,1
2,20151114,1
2,20151121,1
2,20151128,1
2,20151205,1
2,20151212,1
2,20151219,1
2,20151226,1
2,20160102,1
2,20160109,1
2,20160116,1
2,20160123,1
2,20160130,1
2,20160206,1
2,20160213,1
2,20160220,1
2,20160227,1
2,20160305,1
2,20160312,1
2,20160319,1
2,20160326,1
3,20151004,1
3,20151011,1
3,20151018,1
3,20151025,1
3,20151101,1
3,20151108,1
3,20151115,1
3,20151122,1
3,20151126,1
3,20151129,1
3,20151206,1
3,20151213,1
3,20151220,1
3,20151225,1
3,20151227,1
3,20160103,1
3,20160110,1
3,20160117,1
3,20160124,1
3,20160131,1
3,20160207,1
3,20160214,1
3,20160221,1
3,20160228,1
3,20160306,1
3,20160313,1
3,20160320,1
3,20160327,1
4,20150930,1
4,20151001,1
4,20151002,1
4,20151005,1
4,20151006,1
4,20151007,1
4,20151008,1
4,20151009,1
4,20151013,1
4,20151014,1
4,20151015,1
4,20151016,1
4,20151019,1
4,20151020,1
4,20151021,1
4,20151022,1
4,20151023,1
4,20151026,1
4,20151027,1
4,20151028,1
4,20151029,1
4,20151030,1
4,20151102,1
4,20151103,1
4,20151104,1
4,20151105,1
4,20151106,1
4,20151109,1
4,20151110,1
4,20151112,1
4,20151113,1
4,20151116,1
4,20151117,1
4,20151118,1
4,20151119,1
4,20151120,1
4,20151123,1
4,20151124,1
4,20151125,1
4,20151127,1
4,20151130,1
4,20151201,1
4,20151202,1
4,20151203,1
4,20151204,1
4,20151207,1
4,20151208,1
4,20151209,1
4,20151210,1
4,20151211,1
4,20151214,1
4,20151215,1
4,20151216,1
4,20151217,1
4,20151218,1
4,20151221,1
4,20151222,1
4,20151223,1
4,20151224,1
4,20151228,1
4,20151229,1
4,20151230,1
4,20151231,1
4,20160101,1
4,20160104,1
4,20160105,1
4,20160106,1
4,20160107,1
4,20160108,1
4,20160111,1
4,20160112,1
4,20160113,1
4,20160114,1
4,20160115,1
4,20160118,1
4,20160119,1
4,20160120,1
4,20160121,1
4,20160122,1
4,20160125,1
4,20160126,1
4,20160127,1
4,20160128,1
4,20160129,1
4,20160201,1
4,20160202,1
4,20160203,1
4,20160204,1
4,20160205,1
4,20160208,1
4,20160209,1
4,20160210,1
4,20160211,1
4,20160212,1
4,20160215,1
4,20160216,1
4,20160217,1
4,20160218,1
4,20160219,1
4,20160222,1
4,20160223,1
4,20160224,1
4,20160225,1
4,20160226,1
4,20160229,1
4,20160301,1
4,20160302,1
4,20160303,1
4,20160304,1
4,20160307,1
4,20160308,1
4,20160309,1
4,20160310,1
4,20160311,1
4,20160314,1
4,20160315,1
4,20160316,1
4,20160317,1
4,20160318,1
4,20160321,1
4,20160322,1
4,20160323,1
4,20160324,1
4,20160325,1
5,20151002,1
5,20151009,1
5,20151016,1
5,20151023,1
5,20151030,1
5,20151106,1
