day_no,agent_id,agent_type,trip_id,route_id,route_id_short_name,origin_zone,destination_zone,schedule_departure_time,schedule_node_sequence,schedule_stop_time_sequence,path_node_sequence,path_time_sequence
0,1,transit,15601,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,990,99807;99732;99733;,990;990;1016;1016;1026;1026;,99807;99732;99733;,990;990;1016;1016;1026;1026;,
0,2,transit,15602,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,880,99807;99732;99733;,880;880;906;906;916;916;,99807;99732;99733;,880;880;906;906;916;916;,
0,3,transit,15603,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,566,99807;99732;99733;,566;566;592;592;602;602;,99807;99732;99733;,566;566;592;592;602;602;,
0,4,transit,15604,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,488,99807;99732;99733;,488;488;514;514;524;524;,99807;99732;99733;,488;488;514;514;524;524;,
0,5,transit,15605,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,93,99656;8028;99807;99732;99733;2970;7737;99466;9582;,93;93;149;149;186;186;210;210;217;217;244;244;256;256;272;272;290;290;,99656;8028;99807;99732;99733;2970;7737;99466;9582;,93;93;149;149;186;186;210;210;217;217;244;244;256;256;272;272;290;290;,
0,6,transit,15606,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,843,99656;8028;99807;99732;99733;2970;7737;99466;9582;,843;843;898;898;938;938;964;964;974;974;1003;1003;1020;1020;1040;1040;1055;1055;,99656;8028;99807;99732;99733;2970;7737;99466;9582;,843;843;898;898;938;938;964;964;974;974;1003;1003;1020;1020;1040;1040;1055;1055;,
0,7,transit,15607,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,698,99656;8028;99807;99732;99733;2970;7737;99466;9582;,698;698;753;753;793;793;819;819;829;829;858;858;875;875;895;895;910;910;,99656;8028;99807;99732;99733;2970;7737;99466;9582;,698;698;753;753;793;793;819;819;829;829;858;858;875;875;895;895;910;910;,
0,8,transit,15608,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,503,99656;8028;99807;99732;99733;2970;7737;99466;9582;,503;503;558;558;598;598;624;624;634;634;663;663;680;680;700;700;715;715;,99656;8028;99807;99732;99733;2970;7737;99466;9582;,503;503;558;558;598;598;624;624;634;634;663;663;680;680;700;700;715;715;,
0,9,transit,15609,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,346,99656;8028;99807;99732;99733;2970;7737;99466;9582;,346;346;402;402;439;439;463;463;470;470;498;498;515;515;535;535;550;550;,99656;8028;99807;99732;99733;2970;7737;99466;9582;,346;346;402;402;439;439;463;463;470;470;498;498;515;515;535;535;550;550;,
0,10,transit,15610,685,2GOT15-Weekday-1-2GOT15-1111100,1,2,1050,99733;99732;99807;,1050;1050;1057;1057;1077;1077;,99733;99732;99807;,1050;1050;1057;1057;1077;1077;,
